first row nr, abbadingo trace, state sequence, score sequence, alignment, num misaligned, nw-alignment, nw-score, norm-nw-score, sum scores, mean scores, min score,Column1
0," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00508332,-0.182484,-0.00358716,-0.0224654,-0.000949517,-0.0182583,-0.536531,0,0,-0.287833,-0.287833,-0.287833,-1.38644]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,, -4.23406, -0.211703, -1.38644
1," ""1 13 22 5 5 5 11 9 11 9 11 9 26 26 26"""," [2,7,14,24,42,75,88,147,232,345,482,645,820,820]"," [-1.35049,-0.000795229,0,-0.00159236,-1.2,0,-0.154151,-0.00508332,-0.182484,-0.00358716,-0.0224654,-0.000949517,-0.0182583,-1.54152]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [2,7,14,24,42,75,88,147,232,345,482,645,820,]",26,1,, -4.48137, -0.320098, -1.54152
2," ""1 21 22 5 5 5 26 26 26 11 9 11 9 11 9 2 3 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,987,1294,1002,1314,1715,1715,1715,1715,1715]"," [-1.35049,-0.000795229,0,-0.00159236,-0.373318,-0.0844893,-0.172795,-0.00751318,-0.00909097,0,-0.00559442,-0.0291174,-0.0114287,-1.94687,-1.50408,-2.05412,0,0,-0.287833,-0.287833,-0.287833,-1.38644]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [2,7,14,24,44,81,139,222,335,472,635,809,987,987,1294,1002,1314,1715,1715,1715,1715,]",42,1,, -9.80123, -0.445511, -2.05412
3," ""1 13 22 5 5 5 11 9 11 9 11 9 26 26 26"""," [2,7,14,24,42,75,88,147,232,345,482,645,820,820]"," [-1.35049,-0.000795229,0,-0.00159236,-1.2,0,-0.154151,-0.00508332,-0.182484,-0.00358716,-0.0224654,-0.000949517,-0.0182583,-1.54152]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [2,7,14,24,42,75,88,147,232,345,482,645,820,]",26,1,, -4.48137, -0.320098, -1.54152
4," ""1 31 22 5 5 5 26 26 26 11 9 11 9 11 9 4 3 3 3 4 3 4 3 3 4 3 3 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,1295,1695,1295,1695,2153,1294,1693,2148,2691,3302,3956,1004,1319,1724,2184,2738,3357,4012,4012]"," [-1.35049,-0.000795229,0,-0.00159236,-0.373318,-0.0844893,-0.172795,-0.00751318,-0.00909097,0,-0.00559442,-0.0291174,-0.0114287,-1.31246,-0.518002,-2.10515,-0.518002,-0.183337,-2.50767,-1.0758,-0.128175,-0.329753,-0.817445,-0.0502618,-0.13428,-3.39227,0,0,0,0,0,0]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [2,7,14,24,44,81,139,222,335,472,635,809,987,1295,1695,1295,1695,2153,1294,1693,2148,2691,3302,3956,1004,1319,1724,2184,2738,3357,4012,]",62,1,, -15.1188, -0.472463, -3.39227
5," ""1 31 22 5 5 5 26 26 26 11 9 11 9 11 9 3 3 4 3 4 3 3 3 4 4 3 3 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,1294,1692,2148,2691,3302,3956,1004,1321,1727,1696,2153,1294,1002,1314,1715,1715,1715,1715,1715]"," [-1.35049,-0.000795229,0,-0.00159236,-0.373318,-0.0844893,-0.172795,-0.00751318,-0.00909097,0,-0.00559442,-0.0291174,-0.0114287,-1.50408,-0.897243,-0.252055,-0.329753,-0.817445,-0.0502618,-0.13428,-0.640733,-0.176382,-2.66723,-0.164982,-2.50767,-2.05412,0,0,-0.287833,-0.287833,-0.287833,-1.38644]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [2,7,14,24,44,81,139,222,335,472,635,809,987,1294,1692,2148,2691,3302,3956,1004,1321,1727,1696,2153,1294,1002,1314,1715,1715,1715,1715,]",62,1,, -16.4924, -0.515387, -2.66723
6," ""1 19 5 22 5 5 26 26 11 9 11 9 11 9 26 23 23 23 21 21 21"""," [1,5,12,18,147,234,347,484,249,368,510,679,854,824,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-3.86814,-1.82233,-1.43441,-0.134387,-1.84811,-0.191055,-0.0540672,-0.325422,0,-inf,-0.617798,0,0,-0.287833,-0.287833,-0.287833,-1.38644]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1]",1," [1,5,12,18,147|147/+,234,347,484,249,368,510,679,854,854/+,1387/+|1314/+,1801/+|1715/+,2277/+|1715/+,2840/+|1715/+,3463/+|1715/+,]",34,0.982456,, -inf, -inf, -inf
7," ""1 23 22 5 5 5 26 26 26 11 9 11 9 11 9 4 4 3 2 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,1295,1696,2153,2153,1002,1314,1715,1715,1715,1715,1715]"," [-1.35049,-0.000795229,0,-0.00159236,-0.373318,-0.0844893,-0.172795,-0.00751318,-0.00909097,0,-0.00559442,-0.0291174,-0.0114287,-1.31246,-0.934609,-0.164982,-0.892985,-0.74936,0,0,-0.287833,-0.287833,-0.287833,-1.38644]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [2,7,14,24,44,81,139,222,335,472,635,809,987,1295,1696,2153,2153,1002,1314,1715,1715,1715,1715,]",46,1,, -8.35056, -0.34794, -1.38644
8," ""1 19 5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-1.28054,0,-0.00153571,-0.0441478,-0.00672026,-0.07675,-0.00508332,-0.182484,-0.00358716,-0.0224654,-0.000949517,-0.0182583,-0.536531,0,0,-0.287833,-0.287833,-0.287833,-1.38644]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,, -4.72947, -0.236473, -1.38644
9," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.300465,-0.326728,-0.45995,0,-0.0441478,-0.00672026,-0.07675,-0.00508332,-0.182484,-0.00358716,-0.0224654,-0.000949517,-0.0182583,-0.536531,0,0,-0.287833,-0.287833,-0.287833,-1.38644]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,]",38,1,, -4.23406, -0.211703, -1.38644
