first row nr, abbadingo trace, state sequence, score sequence, alignment, num misaligned, nw-alignment, norm-nw-score, nw-mismatches, sum scores, mean scores, min score,Column1
0," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.45995,0,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.284, -0.2642, -1.39273,
1," ""1 13 22 5 5 5 11 9 11 9 11 9 26 26 26"""," [2,7,14,24,42,75,88,147,232,345,482,645,820,820]"," [-1.35154,-0.000795229,0,-0.00318218,-1.21288,0,-0.313092,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-2.15895]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [2,7,14,24,42,75,88,147,232,345,482,645,820]",1,0, -5.54566, -0.396118, -2.15895,
2," ""1 21 22 5 5 5 26 26 26 11 9 11 9 11 9 2 3 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,645,645,645,1002,1314,1715,1715,1715,1715,1715]"," [-1.35154,-0.000795229,0,-0.00318218,-0.382262,-0.161455,-0.322257,-0.0164551,-0.0285091,-0.074963,-0.0182099,-0.583919,-0.00917438,-7.46006,-4.03471,-2.82418,-2.57548,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1]",1," [2,7,14,24,44,81,139,222,335,472,635,809,987,1715/+,1715,1715/-,345/+,345,809/+,1715/+,1715]",0.97619,5, -22.1222, -0.961836, -7.46006,
3," ""1 13 22 5 5 5 11 9 11 9 11 9 26 26 26"""," [2,7,14,24,42,75,88,147,232,345,482,645,820,820]"," [-1.35154,-0.000795229,0,-0.00318218,-1.21288,0,-0.313092,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-2.15895]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [2,7,14,24,42,75,88,147,232,345,482,645,820]",1,0, -5.54566, -0.396118, -2.15895,
4," ""1 31 22 5 5 5 26 26 26 11 9 11 9 11 9 4 3 3 3 4 3 4 3 3 4 3 3 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,645,645,645,645,645,645,645,645,645,645,645,645,645,1002,1314,1715,1715,1715,1715,1715]"," [-1.35154,-0.000795229,0,-0.00318218,-0.382262,-0.161455,-0.322257,-0.0164551,-0.0285091,-0.074963,-0.0182099,-0.583919,-0.00917438,-7.46006,-2.93172,-2.82418,-2.82418,-2.82418,-2.93172,-2.82418,-2.93172,-2.82418,-2.82418,-2.93172,-2.82418,-2.82418,-2.57548,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1," [2,7,14,24,44,81,139,222,335,472,635,809,987,1715/+,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715/-,635/+,635,809,1715/+,1715]",0.983871,4, -49.5836, -1.50253, -7.46006,
5," ""1 31 22 5 5 5 26 26 26 11 9 11 9 11 9 3 3 4 3 4 3 3 3 4 4 3 3 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,645,645,645,645,645,645,645,645,645,645,645,645,645,1002,1314,1715,1715,1715,1715,1715]"," [-1.35154,-0.000795229,0,-0.00318218,-0.382262,-0.161455,-0.322257,-0.0164551,-0.0285091,-0.074963,-0.0182099,-0.583919,-0.00917438,-7.46006,-2.82418,-2.82418,-2.93172,-2.82418,-2.93172,-2.82418,-2.82418,-2.82418,-2.93172,-2.93172,-2.82418,-2.82418,-2.57548,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1," [2,7,14,24,44,81,139,222,335,472,635,809,987,1715/+,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715/-,635/+,635,809,1715/+,1715]",0.983871,4, -49.5836, -1.50253, -7.46006,
6," ""1 19 5 22 5 5 26 26 11 9 11 9 11 9 26 23 23 23 21 21 21"""," [1,5,12,18,24,44,81,24,42,75,88,147,232,345,482,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-1.28054,0,-0.00306906,-inf,-0.382262,-0.161455,-0.322257,-1.21288,0,-0.313092,-0.00831785,-0.178821,-0.00373959,-0.01846,-4.68246,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",2," [1,5,12,18,18/-,81/+,485/+,645,645,345,232,345,482,1002,1314,1715,1715,1715,1715]",0.982456,3, -inf, -inf, -inf,
7," ""1 23 22 5 5 5 26 26 26 11 9 11 9 11 9 4 4 3 2 23 23 23 21 21 21"""," [2,7,14,24,44,81,139,222,335,472,635,809,987,645,645,645,645,645,1002,1314,1715,1715,1715,1715,1715]"," [-1.35154,-0.000795229,0,-0.00318218,-0.382262,-0.161455,-0.322257,-0.0164551,-0.0285091,-0.074963,-0.0182099,-0.583919,-0.00917438,-7.46006,-2.93172,-2.93172,-2.82418,-4.03471,-2.57548,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1]",1," [2,7,14,24,44,81,139,222,335,472,635,809,987,1715/+,1715,1715,1715,1715/-,635/+,635,809,1715/+,1715]",0.978261,4, -27.9857, -1.11943, -7.46006,
8," ""1 19 5 22 5 5 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-1.28054,0,-0.00306906,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,5,12,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.78094, -0.289047, -1.39273,
9," ""1 19 5 5 5 22 11 9 11 9 11 9 26 26 26 23 23 23 21 21 21"""," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715,1715]"," [-0.302039,-0.326728,-0.45995,0,-0.0858814,-0.0133957,-0.188839,-0.00831785,-0.178821,-0.00373959,-0.01846,-0.0281614,-0.267709,-1.12687,0,0,-0.294118,-0.294118,-0.294118,-1.39273]"," [1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",0," [1,4,10,18,29,50,88,147,232,345,482,645,820,1002,1314,1715,1715,1715,1715]",1,0, -5.284, -0.2642, -1.39273,
